State,Population,Case Density,ICU Capacity Ratio,Initiated Vaccinations Ratio,Completed Vaccinations Ratio,Total Number of Cases,Death Toll,Positive Tests,Negative Tests,Positive Case Ratio,Hospital Beds Capacity,Hospital Beds Current Usage,Hospital Beds COVID Usage,ICU Beds Capacity,ICU Beds Current Usage,ICU Beds COVID Usage,Last Update Date,Latitude,Longitude
AK,731545,107.4,0.86,0.59,0.523,132393,680,150805,2877650,0.049796018101639285,1603,1209,231,125,107,45,2021-10-25,61.3025006,-158.7750198
AL,4903185,17.4,0.85,0.54,0.444,817446,15407,773140,5202805,0.12937535402350592,15184,11057,699,1563,1323,178,2021-10-25,32.6010112,-86.6807365
AR,3017804,15.6,0.76,0.576,0.476,510245,8281,316675,3369946,0.0858984419608091,9320,6598,459,947,724,154,2021-10-25,34.7519275,-92.1313784
AZ,7278717,35.0,0.64,0.609,0.527,1148483,20867,1170030,9537152,0.10927525094838213,17298,12854,1686,2188,1405,411,2021-10-25,34.1682185,-111.930907
CA,39512223,14.0,0.77,0.739,0.608,4869133,71528,4838152,80836787,0.05647102941036235,64650,50328,3953,6980,5367,974,2021-10-25,37.2718745,-119.2704153
CO,5758736,38.9,0.85,0.672,0.612,725448,8220,722231,9971351,0.06753873491595239,11814,8520,1223,1305,1106,370,2021-10-25,38.9979339,-105.550567
CT,3565287,12.4,0.58,0.783,0.703,399402,8739,524830,10634054,0.04703248102588037,8456,7008,260,1024,596,59,2021-10-25,41.5187835,-72.757507
DC,705749,12.4,0.75,0.735,0.62,63588,1186,91564,2847782,0.031151147227988812,3466,2777,85,334,251,17,2021-10-25,38.8993487,-77.0145666
DE,973764,36.4,0.83,0.685,0.595,142354,2064,160173,2517494,0.05981811778686446,3362,2637,178,199,166,26,2021-10-25,39.145251,-75.4189206
FL,21477737,9.7,0.75,0.687,0.594,3631256,58803,4288517,37060029,0.10371627094215115,57354,43681,2339,6362,4778,578,2021-10-25,27.9757279,-83.8330166
GA,10617423,13.2,0.82,0.564,0.476,1589477,27513,1230298,10451641,0.10531624929731272,23066,18316,1789,2591,2119,481,2021-10-25,32.6781248,-83.2229757
HI,1415872,9.0,0.75,0.783,0.595,80722,885,89427,2374165,0.03629943594556242,2569,1938,83,208,157,16,2021-10-25,20.46,-157.505
